RegistrationNo,ProductName,TotalContent,FirstProve,Period,Toxicity,Company,Remark,ScrapedAt
PD20160776,diquat,200克/升,2016.06.20,2031.06.19,Lowly Toxic,"SHANDONG SHENGPENG TECHNOLOGY CO.,LTD",,2026-05-03T19:11:16.193192
PD20160775,diflufenican,50%,2016.06.20,2031.06.19,Slightly Toxic,ADAMA Huifeng (Jiangsu) Ltd.,,2026-05-03T19:11:16.193192
PD20160774,difenoconazole,20%,2016.06.20,2031.06.19,Lowly Toxic,"FOSHAN  WANBON   BIOLOGICAL  CO., LTD",,2026-05-03T19:11:16.193192
PD20160773,glufosinate-ammonium,200克/升,2016.06.20,2031.06.19,Lowly Toxic,"Hebei Angenuo Agrochemical Co.,Ltd.",,2026-05-03T19:11:16.193192
PD20160772,glyphosate、dicamba,33%,2016.06.20,2031.06.19,Lowly Toxic,"Anyang City Ruipu Agrochemical Co.,Ltd.",草甘膦异丙胺盐含量：41%，麦草畏异丙胺盐含量：3.8%。2023年9月11日，变更原持有人河南省安阳市锐普农化有限责任公司。,2026-05-03T19:11:16.193192
PD20160771,difenoconazole、kresoxim-methyl,40%,2016.06.20,2031.06.19,Lowly Toxic,"HENAN BISAIER AGRICULTURAL SCIENCE AND TECHNOLOGY CO., LTD.",,2026-05-03T19:11:16.193192
PD20160770,boscalid,96%,2016.06.20,2031.06.19,Lowly Toxic,"Youchuang Crop Protection Co., Ltd.",2023年11月1日，变更原持有人江苏优嘉植物保护有限公司。2025年7月28日，变更原持有人江苏扬农化工股份有限公司。,2026-05-03T19:11:16.193192
PD20160769,spinosad,25克/升,2016.06.20,2031.06.19,Lowly Toxic,"Jiangsu Futian Agro-Chemical Co., Ltd",,2026-05-03T19:11:16.193192
PD20110688,abamectin-aminomethyl,2%,2011.06.20,2031.06.19,Lowly Toxic,"Syngenta (Suzhou) Crop Protection Co., Ltd.",甲氨基阿维菌素苯甲酸盐：2.3%。2022年01月18日，增加松树松材线虫。,2026-05-03T19:11:16.193192
PD20110687,etofenprox,10%,2011.06.20,2031.06.19,Lowly Toxic,"Nanjing Huazhou Pharmaceutical Co.,Ltd",,2026-05-03T19:11:16.193192
PD20110684,abamectin、propargite,40%,2011.06.20,2031.06.19,Lowly Toxic (technical material is highly toxic),"Shaanxi Mei Bang Pharmaceutical Group Co., Ltd.",,2026-05-03T19:11:16.193192
PD20110682,diethyl aminoethyl hexanoate,8%,2011.06.20,2031.06.19,Lowly Toxic,"ZHENGZHOU ZHENG SHI CHEMICAL CO., LTD",,2026-05-03T19:11:16.193192
PD20110681,imidacloprid,70%,2011.06.20,2031.06.19,Lowly Toxic,"JIANGMEN DAGUANGMING AGROCHEMICAL XINHUI CO.,LTD.",2025年12月9日，增加芦笋（保护地）蓟马。,2026-05-03T19:11:16.193192
PD20110680,abamectin-aminomethyl,1%,2011.06.20,2031.06.19,Lowly Toxic,"Heze Beilian Agrochemical Manufacture CO,limited",甲氨基阿维菌素苯甲酸盐含量：1.14%。,2026-05-03T19:11:16.193192
PD20110679,chlorpyrifos,30%,2011.06.20,2031.06.19,Moderately Toxic,"Jinan Yinong Chemical Co.,Ltd.",2024年7月4日，变更原持有人山东省济南一农化工有限公司。,2026-05-03T19:11:16.193192
PD20110678,tebuconazole,430克/升,2011.06.20,2031.06.19,Lowly Toxic,"JIANGSU INSTITUTE OF ECOMONES CO., LTD",2023年6月21日，增加甜瓜白粉病、黄芪白粉病。 2023年12月28日，增加观赏月季白粉病。2024年7月4日，变更原持有人江苏省常州沃富斯农化有限公司。,2026-05-03T19:11:16.193192
PD20110676,peracetic acid,21%,2011.06.20,2031.06.19,Lowly Toxic,"SHIJIAZHUANG BAOFENG CHEMICAL CO., LTD.?",,2026-05-03T19:11:16.193192
PD20110675,paclobutrazol,25%,2011.06.20,2031.06.19,Lowly Toxic,"Jiangsu Sevencontinent Green Chemical Co., Ltd.",,2026-05-03T19:11:16.193192
PD20110674,abamectin,95%,2011.06.20,2031.06.19,Highly Toxic,"Qilu Pharmaceutical (Inner Mongolia) Co., Ltd.",,2026-05-03T19:11:16.193192
PD20110673,abamectin,1.8%,2011.06.20,2031.06.19,Moderately Toxic (technical material is highly toxic),"Guangxi Defu Chemical Co. , Ltd.",2022年12月30日，变更原持有人南宁市德丰富化工有限责任公司。,2026-05-03T19:11:16.193192
PD20110672,quizalofop-P-ethyl,10%,2011.06.20,2031.06.19,Lowly Toxic,"Jinan Zhongke Green Biotechnology Co.,Ltd",,2026-05-03T19:11:16.193192
PD20110671,fluroxypyr、MCPA,42%,2011.06.20,2031.06.19,Lowly Toxic,"Lier Cropscience Co.,Ltd",,2026-05-03T19:11:16.193192
PD20110670,fenvalerate、dimethoate,25%,2011.06.20,2031.06.19,Moderately Toxic,"SICHUAN N·FOISON BIOTECHNOLOGY CO., LTD.",,2026-05-03T19:11:16.193192
PD20110669,cuaminosulfate,15%,2011.06.20,2031.06.19,Lowly Toxic,"Tianjin Book Agrochemicals Co., LTD",,2026-05-03T19:11:16.193192
PD20110668,isoprocarb,40%,2011.06.20,2031.06.19,Lowly Toxic,"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。,2026-05-03T19:11:16.193192
PD20110667,abamectin,1.8%,2011.06.20,2031.06.19,Lowly Toxic (technical material is highly toxic),"Shandong Wangdeng Biotechnology Co., Ltd",2024年4月28日，变更原持有人山东旺登农业科技有限公司。,2026-05-03T19:11:16.193192
PD20110666,abamectin、propargite,56%,2011.06.20,2031.06.19,Moderately Toxic (technical material is highly toxic),"JINAN TIANBANG CHEMICAL CO.,LTD",,2026-05-03T19:11:16.193192
PD20110665,malathion,45%,2011.06.20,2031.06.19,Lowly Toxic,"Jiangxi Nuclear Industry Gold Biotechnology Co. , Ltd.",,2026-05-03T19:11:16.193192
PD20110664,buprofezin,98%,2011.06.20,2031.06.19,Slightly Toxic,"Jiangsu Pesticide Research Institute Co., Ltd.",,2026-05-03T19:11:16.193192
PD20110663,quizalofop-P-ethyl,15%,2011.06.20,2031.06.19,Lowly Toxic,"Shandong Daimengde Biological Technology Co., Ltd.",2025年3月6日，变更原持有人张家口长城农药有限公司。,2026-05-03T19:11:16.193192
PD20110662,tebuconazole,96%,2011.06.20,2031.06.19,Lowly Toxic,"JIANGSU GOOD HARVEST-WEIEN AGROCHEMICAL CO., LTD.",,2026-05-03T19:11:16.193192
PD20110661,glyphosate,68%,2011.06.20,2031.06.19,Lowly Toxic,"Chengdu Bangnong Chem Co.,Ltd.",草甘膦胺盐含量:74.7%。,2026-05-03T19:11:16.193192
PD20110659,abamectin,18克/升,2011.06.20,2031.06.19,Lowly Toxic (technical material is highly toxic),"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。,2026-05-03T19:11:16.193192
PD20110658,isoproturon、tribenuron-methyl,70%,2011.06.20,2031.06.19,Lowly Toxic,"SHANDONG VICOME GREENLAND CHEMICAL CO., LTD.",,2026-05-03T19:11:16.193192
PD20110657,chlorpyrifos,40%,2011.06.20,2031.06.19,Moderately Toxic,"Shaanxi Sunger Road BIO-Science Co.,LTD.",,2026-05-03T19:11:16.193192
PD20110656,abamectin,1.8%,2011.06.20,2031.06.19,Lowly Toxic (technical material is highly toxic),"Shaan xi Xian Nong biology science Co., Ltd",,2026-05-03T19:11:16.193192
PD20110655,cuaminosulfate、copper citrate,21.4%,2011.06.20,2031.06.19,Lowly Toxic,Guangxi Guilin Hongtian Biochemistry Co.Ltd,,2026-05-03T19:11:16.193192
PD20110654,acetamiprid,20%,2011.06.20,2031.06.19,Lowly Toxic,"QINGDAO ZHONGDA AGRITECH CO., LTD.",,2026-05-03T19:11:16.193192
PD20110653,lambda-cyhalothrin,2.5%,2011.06.20,2031.06.19,Lowly Toxic,"SHENZHEN NOPOSION CROP SCIENCE CO., LTD",2023年9月11日，变更原持有人深圳诺普信农化股份有限公司。 2024年3月20日，增加西洋参小地老虎。,2026-05-03T19:11:16.193192
PD20110651,abamectin、petroleum oil,18.3%,2011.06.20,2031.06.19,Lowly Toxic (technical material is highly toxic),"BENGBU BIOAGRILAND FAITHCHEM CO., LTD",2025年9月23日，变更原持有人安徽省圣丹生物化工有限公司。,2026-05-03T19:11:16.193192
PD20110650,sodium 5-nitroguaiacolate、sodium ortho-nitrophenol、sodium para-nitrophenolate,1.8%,2011.06.20,2031.06.19,Lowly Toxic,,,2026-05-03T19:11:16.193192
PD20110649,acetamiprid,5%,2011.06.20,2031.06.19,Lowly Toxic,"SHANXI YUNCHENG LUKANG INDUSTRIAL CO.,LTD.",,2026-05-03T19:11:16.193192
PD20110644,acephate,75%,2011.06.20,2031.06.19,Lowly Toxic,sinon chemical （China）CO.LTD,,2026-05-03T19:11:16.193192
PD20110638,emamectin benzoate、chlorbenzuron,25%,2011.06.20,2031.06.19,Lowly Toxic,"Anyang Anlin Biochemistry Co.,ltd",2025年12月12日，变更原持有人河南省安阳市安林生物化工有限责任公司。,2026-05-03T19:11:18.339953
WP20160043,azamethiphos,1%,2016.06.19,2031.06.18,Lowly Toxic,"Henan Jinwan Agrochemical Technology Co., Ltd.",2023年7月23日，增加室内蜚蠊。,2026-05-03T19:11:18.339953
WP20160042,muscalure、imidacloprid,1.05%,2016.06.19,2031.06.18,Slightly Toxic,"Huaibei Runnong Tenghui Biotechnology Co., Ltd.",2026年2月11日，变更原持有人安徽润农腾辉生物科技有限公司。,2026-05-03T19:11:18.339953
WP20160041,dimefluthrin,0.93%,2016.06.19,2031.06.18,Slightly Toxic,"Zhongshan Lanju Daily Chemical Industrial Co., Ltd.",,2026-05-03T19:11:18.339953
WP20160039,meperfluthrin,0.4%,2016.06.19,2031.06.18,Lowly Toxic,,,2026-05-03T19:11:18.339953
PD363-2001,tebufenozide,24%,,2031.06.18,Lowly Toxic,,,2026-05-03T19:11:18.339953
PD20160768,MCPA-sodium,56%,2016.06.19,2031.06.18,Lowly Toxic,"Anyang City Ruipu Agrochemical Co.,Ltd.",2023年9月11日，变更原持有人河南省安阳市锐普农化有限责任公司。,2026-05-03T19:11:18.339953
PD20160767,thidiazuron,80%,2016.06.19,2031.06.18,Lowly Toxic,"JIANGSU DONGBAO AGROCHEMICAL CO.,LTD",,2026-05-03T19:11:18.339953
PD20160766,diafenthiuron,500克/升,2016.06.19,2031.06.18,Moderately Toxic,,,2026-05-03T19:11:18.339953
PD20160765,tetraconazole,4%,2016.06.19,2031.06.18,Lowly Toxic,"Shaanxi Sunger Road BIO-Science Co.,LTD.",,2026-05-03T19:11:18.339953
PD20160764,bispyribac-sodium,10%,2016.06.19,2031.06.18,Lowly Toxic,"Zhejiang Tianyi Biotechnology Co., Ltd.",,2026-05-03T19:11:18.339953
PD20160763,abamectin-aminomethyl,5%,2016.06.19,2031.06.18,Lowly Toxic,"HEBEI XINTIAN BIOTECHNOLOGY CO.,LTD",甲氨基阿维菌素苯甲酸盐：5.7%。,2026-05-03T19:11:18.339953
PD20160762,atrazine、mesotrione,55%,2016.06.19,2031.06.18,Lowly Toxic,SHANDONG TOPPER CROP SCIENCE LIMITED,,2026-05-03T19:11:18.339953
PD20160760,pyraclostrobin,97.5%,2016.06.19,2031.06.18,Moderately Toxic,"Huludao Lingyun Group Pesticide & Chemicals Co., LTD",,2026-05-03T19:11:18.339953
PD20160759,oxine-copper、tebuconazole,36%,2016.06.19,2031.06.18,Lowly Toxic,"SYNWILL CO., LTD.",,2026-05-03T19:11:18.339953
PD20160758,fenbutatin oxide、pyridaben,25%,2016.06.19,2031.06.18,Lowly Toxic,"SHAANXI HENGTIAN BIOLOGICAL AGRICULTURE CO.,LTD",,2026-05-03T19:11:18.339953
PD20160757,pymetrozine、isoprocarb,40%,2016.06.19,2031.06.18,Moderately Toxic,"DEQIANG BIOLOGY CO.,LTD.",,2026-05-03T19:11:18.339953
PD20160756,mesosulfuron-methyl,30克/升,2016.06.19,2031.06.18,Lowly Toxic,,,2026-05-03T19:11:18.339953
PD20160755,abamectin-aminomethyl,5%,2016.06.19,2031.06.18,Lowly Toxic,"Guangxi Gold Swallow Agricultural Chemicals Co.,Ltd",甲氨基阿维菌素苯甲酸盐含量：5.7%。2025年12月12日，变更原持有人广西金燕子农药有限公司。,2026-05-03T19:11:18.339953
PD20160754,abamectin-aminomethyl,5%,2016.06.19,2031.06.18,Lowly Toxic,"Jiangxi Huihe Chemical Co., Ltd.",甲氨基阿维菌素苯甲酸盐含量5.7%。,2026-05-03T19:11:18.339953
PD20160753,chlorpyrifos,98%,2016.06.19,2031.06.18,Moderately Toxic,"Shandong United Pesticide Industry Co.,Ltd.",,2026-05-03T19:11:18.339953
PD20160752,trichoderma SP,2亿孢子/克,2016.06.19,2031.06.18,Lowly Toxic,,2021年11月10日，使用范围变更，新增烟草黑胫病。 2025年1月16日，增加高粱叶斑病。 2025年9月1日，增加香蕉枯萎病。,2026-05-03T19:11:18.339953
PD20160751,abamectin、acetamiprid,50.0%,2016.06.19,2031.06.18,Lowly Toxic,"Shaanxi Tunpsion Biological Technology Co., Ltd.",,2026-05-03T19:11:18.339953
PD20160750,oligosaccharins,5%,2016.06.19,2031.06.18,Lowly Toxic,"XI'AN HYTECH AGROCHEMICALS CO., LTD.",,2026-05-03T19:11:18.339953
PD20160749,sulfur,80%,2016.06.19,2031.06.18,Lowly Toxic,"Shaanxi Mei Bang Pharmaceutical Group Co., Ltd.",,2026-05-03T19:11:18.339953
PD20160748,epoxiconazole,12.5%,2016.06.19,2031.06.18,Lowly Toxic,"Jiangsu Fengdeng Crop Science Co., Ltd.",,2026-05-03T19:11:18.339953
PD20160747,cyhalofop-butyl,15%,2016.06.19,2031.06.18,Slightly Toxic,"Fu Li biochemistry science-technology develop CO.LTD??，Harbin  city , Heilongjiang? province",,2026-05-03T19:11:18.339953
PD20160746,hexaflumuron、abamectin-aminomethyl,3%,2016.06.19,2031.06.18,Lowly Toxic,"JIANGXI ZHONGXUN AGRO-CHEMICAL Co.,Ltd",,2026-05-03T19:11:18.339953
PD20160745,imidacloprid,600克/升,2016.06.19,2031.06.18,Lowly Toxic,AnHui JinTai Pesticide Chemical Co.，Ltd,,2026-05-03T19:11:18.339953
PD20160744,propargite,73%,2016.06.19,2031.06.18,Lowly Toxic,"HEBEI YINUO BIOCHEMICAL CO.,LTD",,2026-05-03T19:11:18.339953
PD20160743,glufosinate-ammonium,10%,2016.06.19,2031.06.18,Lowly Toxic,"Nanning Taidafeng Biotechnology Co. , Ltd.",,2026-05-03T19:11:18.339953
PD20160742,difenoconazole,30克/升,2016.06.19,2031.06.18,Lowly Toxic,"NORTH CHINA PHARMACEUTICAL GROUP  AINO CO., LTD.",,2026-05-03T19:11:18.339953
PD20160741,carfentrazone-ethyl,40%,2016.06.19,2031.06.18,Lowly Toxic,"Anhui JiuYi Agriculture Co., Ltd.",,2026-05-03T19:11:18.339953
PD20160740,nitenpyram,95%,2016.06.19,2031.06.18,Lowly Toxic,"Shijiazhuang Richem Co.,Ltd.",,2026-05-03T19:11:18.339953
PD20160738,acephate,97%,2016.06.19,2031.06.18,Lowly Toxic,"NINGBO LINGHUA INDUSTRIAL CO., LTD",2024年7月4日，变更原持有人浙江菱化实业股份有限公司。,2026-05-03T19:11:18.339953
PD20160737,prochloraz、hymexazol、metalaxyl,3%,2016.06.19,2031.06.18,Slightly Toxic,"Benxi ZhuangMiao-Tech Economic Development Zone Development Co., Ltd.",,2026-05-03T19:11:18.339953
PD20160736,pretilachlor、simetryn,14%,2016.06.19,2031.06.18,Slightly Toxic,"Dongbu Hannong (Heilongjiang) Biotechnology Co., Ltd.",2024年7月4日，变更原持有人韩农（黑龙江）化工有限公司。,2026-05-03T19:11:18.339953
PD20160735,pyraclostrobin、dimethomorph,18.7%,2016.06.19,2031.06.18,Lowly Toxic,"Guangdong ZhenGe Biotechnology co.,Ltd",,2026-05-03T19:11:18.339953
PD20160734,thiamethoxam,0.12%,2016.06.19,2031.06.18,Lowly Toxic,"Guangxi Tianyuan  Biochemistry Co., Ltd.",本品为药肥混剂。 2025年7月28日，增加玉米蛴螬。,2026-05-03T19:11:18.339953
PD20160733,atrazine、mesotrione,30%,2016.06.19,2031.06.18,Lowly Toxic,Jiangxi Zhengbang Crop Protection Co. Ltd.,,2026-05-03T19:11:18.339953
PD20160732,indoxacarb、pyridaben,30%,2016.06.19,2031.06.18,Lowly Toxic,"Dongguan Ruidefeng Biotechnology Co.,Ltd.",,2026-05-03T19:11:18.339953
PD20160731,maleic hydrazide,30.2%,2016.06.19,2031.06.18,Lowly Toxic,"Chongqing Yier Shuangfeng Technology Co., Ltd.",2025年9月1日，增加柑橘树控梢。,2026-05-03T19:11:18.339953
PD20160730,azoxystrobin,250克/升,2016.06.19,2031.06.18,Lowly Toxic,"Jilin province Jixiang Agricultural Technology Co. , Ltd.",,2026-05-03T19:11:18.339953
PD20160728,glyphosate ammonium、MCPA-sodium,36%,2016.06.19,2031.06.18,Lowly Toxic,"Guangxi Huifeng Biotechnology Co. , Ltd.",,2026-05-03T19:11:18.339953
PD20160727,kresoxim-methyl,30%,2016.06.19,2031.06.18,Lowly Toxic,"Jiangxi Bumper Bioltgical technology Co.,Ltd",,2026-05-03T19:11:18.339953
PD20160726,azoxystrobin,50%,2016.06.19,2031.06.18,Lowly Toxic,"Jiangxi Bumper Bioltgical technology Co.,Ltd",,2026-05-03T19:11:18.339953
PD20160725,glufosinate-ammonium,95,2016.06.19,2031.06.18,Lowly Toxic,"HUNAN HAILI CHEMICAL INDUSTRY CO., LTD.",,2026-05-03T19:11:18.339953
PD20160724,florasulam,50克/升,2016.06.19,2031.06.18,Slightly Toxic,"Anhui Founder Universe Crop Care Technology Co., Ltd.",2024年8月22日，变更原持有人天津市汉邦植物保护剂有限责任公司。,2026-05-03T19:11:18.339953
PD20160723,bifenazate,43%,2016.06.17,2031.06.16,Lowly Toxic,,2022年10月24日，变更原持有人山东省青岛润生农化有限公司。2023年11月6日，变更原持有人青岛润生农化有限公司。,2026-05-03T19:11:18.339953
PD20160697,bifenazate,43%,2016.06.17,2031.06.16,Lowly Toxic,"QINGDAO HANSEN BIOLOGIC SCIENCE CO., LTD",2022年10月24日，变更原持有人山东省青岛瀚生生物科技股份有限公司。,2026-05-03T19:11:18.339953
PD20110628,hexazinone,98%,2011.06.16,2031.06.15,Lowly Toxic,"ANHUI GUANGXIN CHENGCHEN TECHNOLOGY CO., LTD.",2025年12月22日，变更原持有人安徽广信农化股份有限公司。,2026-05-03T19:11:18.339953
PD138-91,polyoxin,10%,1991.03.15,2031.06.15,Lowly Toxic,,,2026-05-03T19:11:18.339953
WP20110146,fipronil,0.05%,2011.06.15,2031.06.14,Lowly Toxic,"SUZHOU GREEN HERCULES BIOTECHNOLOGY CO., LTD",2022年08月08日，变更原持有人苏州绿叶日用品有限公司。,2026-05-03T19:11:18.339953
PD20060120,bacillus thuringiensis,16000IU/毫克,2006.06.15,2031.06.14,Lowly Toxic,"Guangxi Weiniu agrochemical Co., Ltd",2024年4月28日，增加豇豆豆荚螟。,2026-05-03T19:11:18.339953
WP20110145,tetramethrin、permethrin,0.52%,2011.06.14,2031.06.13,Lowly Toxic,"Shandong Dongtai Agricultural Chemistry Co., LTD",,2026-05-03T19:11:18.339953
WP20110144,beta-cypermethrin,5%,2011.06.13,2031.06.12,Lowly Toxic,"Wuhan Baoshi Hygiene insectcides & equipment CO.,LTD",2023年7月28日，变更原持有人广东省广州新天地化学实业有限公司。,2026-05-03T19:11:18.339953
WP20110143,prallethrin,0.8%,2011.06.13,2031.06.12,Slightly Toxic,"JinJiang LaoJun Chemical Co., Ltd",2025年5月6日，卫生变更到室内。,2026-05-03T19:11:18.339953
WP20110142,d-phenothrin、esbiothrin,0.46%,2011.06.13,2031.06.12,Slightly Toxic,"He Bei Yi kang Making Mosquito-repellent Incense co.,ltd.",,2026-05-03T19:11:18.339953
PD20110646,imidacloprid,70%,2011.06.13,2031.06.12,Lowly Toxic,"Shanghai heben-eastsun medicaments co.,ltd",,2026-05-03T19:11:18.339953
PD20110645,petroleum oil、fenpropathrin,65%,2011.06.13,2031.06.12,Moderately Toxic,"Shaanxi Mei Bang Pharmaceutical Group Co., Ltd.",,2026-05-03T19:11:18.339953
PD20110642,abamectin-aminomethyl,5%,2011.06.13,2031.06.12,Lowly Toxic,"Shaanxi Tunpsion Biological Technology Co., Ltd.",甲氨基阿维菌素苯甲酸盐5.7%。 2024年3月20日，增加葱蓟马。,2026-05-03T19:11:18.339953
PD20110641,petroleum oil、pyridaben,34%,2011.06.13,2031.06.12,Lowly Toxic,"FOSHAN CITY DAXING BIO-CHEMICAL CO.,LTD",2023年5月24日，变更原持有人广东省佛山市大兴生物化工有限公司。,2026-05-03T19:11:18.339953
PD20110640,lambda-cyhalothrin,2.5%,2011.06.13,2031.06.12,Moderately Toxic,"SHANDONG ZHONGSHI PESTICIDE CO., LTD",,2026-05-03T19:11:18.339953
PD20110637,matrine,10%,2011.06.13,2031.06.12,Lowly Toxic,"Chifeng Zhongnongda Biochemistry Technology Co., Ltd",,2026-05-03T19:11:18.339953
PD20110636,cypermethrin,92%,2011.06.13,2031.06.12,Moderately Toxic,"PILARQUIM (Shanghai) Co., Ltd",,2026-05-03T19:11:18.339953
PD20110634,difenoconazole,10%,2011.06.13,2031.06.12,Lowly Toxic,"JIXIXIAN QINGFENG TIANYING BIOCHEMICAL CO.,LTD",2022年09月03日，变更原持有人河北国欣诺农生物技术有限公司。,2026-05-03T19:11:18.339953
PD20110633,difenoconazole,10%,2011.06.13,2031.06.12,Slightly Toxic,"QINGDAO STAR CROPSCIENCE CO., LTD.",,2026-05-03T19:11:18.339953
PD20060116,cypermethrin,5%,2006.06.13,2031.06.12,Moderately Toxic,"Kaifeng kelingfeng Pharmaceutical Co., Ltd",,2026-05-03T19:11:18.339953
PD20060115,pyridaben,15%,2006.06.13,2031.06.12,Lowly Toxic,"Qingdao Audis Bio-tech Co., Ltd.",2025年9月25日，变更原持有人山东省青岛奥迪斯生物科技有限公司。2026年2月12日，变更原持有人青岛奥迪斯生物科技有限公司。,2026-05-03T19:11:18.339953
PD20060114,imazalil,98%,2006.06.13,2031.06.12,Moderately Toxic,"YIFAN BIOTECHNOLOGY GROUP CO., LTD.",,2026-05-03T19:11:18.339953
PD20060113,triazophos,40%,2006.06.13,2031.06.12,Moderately Toxic,"ZHEJIANG DONG FENG CHEM.IND CO., LTD.",,2026-05-03T19:11:18.339953
PD20060112,triazophos,20%,2006.06.13,2031.06.12,Moderately Toxic,"ZHEJIANG DONG FENG CHEM.IND CO., LTD.",,2026-05-03T19:11:18.339953
PD20060111,pyridaben,20%,2006.06.13,2031.06.12,Lowly Toxic,"Weihai Hanfu Biochemical Medicine Co., Ltd.",,2026-05-03T19:11:18.339953
PD20060110,propiconazol,95%,2006.06.13,2031.06.12,Lowly Toxic,"Jiangsu Fengdeng Crop Science Co., Ltd.",,2026-05-03T19:11:18.339953
PD20060109,glyphosate,95%,2006.06.13,2031.06.12,Lowly Toxic,"JIANGSU KUAIDA AGROCHEMICAL CO., LTD.",,2026-05-03T19:11:18.339953
PD20060108,triadimefon,20%,2006.06.13,2031.06.12,Lowly Toxic,"Shandong Chupeng Biotechnology Development Co., Ltd",2022年10月24日，变更原持有人山东福川生物科技有限公司。,2026-05-03T19:11:18.339953
PD20060107,oxadiazon,94%,2006.06.13,2031.06.12,Lowly Toxic,"Ningxia Wynca Technology Co., Ltd.",,2026-05-03T19:11:18.339953
PD20060106,deltamethrin,98%,2006.06.13,2031.06.12,Moderately Toxic,"JIANGSU CHUNJIANG RUNTIAN AGROCHEMICAL CO., LTD.",2025年7月28日，变更原持有人江苏丰登作物保护股份有限公司。2025年12月9日，变更原持有人山东宇润化工有限公司。,2026-05-03T19:11:18.339953
PD18-86,brodifacoum,0.005%,,2031.06.12,Lowly Toxic (technical material is extremely toxic),Syngenta Limited,2023年4月3日，增加室内、外家鼠。,2026-05-03T19:11:18.339953
PD16-86,brodifacoum,0.005%,,2031.06.12,Lowly Toxic (technical material is extremely toxic),Syngenta Limited,,2026-05-03T19:11:18.339953
PDN12-91,butachlor,50%,,2031.06.11,Lowly Toxic,"Hangzhou Nutrichem Co., Ltd.",,2026-05-03T19:11:18.339953
PDN11-91,butachlor,60%,,2031.06.11,Lowly Toxic,"Hangzhou Nutrichem Co., Ltd.",,2026-05-03T19:11:18.339953
PD20060105,oxadixyl,96%,2006.06.12,2031.06.11,Lowly Toxic,"ANHUI HUAXING CHEMICAL INDUSTRY CO.,LTD.",,2026-05-03T19:11:18.339953
PD20060104,butachlor,85%,2006.06.12,2031.06.11,Lowly Toxic,Harbin Limin Agrochemical Technology Co. ，Ltd.,2025年12月22日，变更原持有人黑龙江省哈尔滨利民农化技术有限公司。,2026-05-03T19:11:18.339953
WP20210125,hydramethylnon,1%,2021.06.11,2031.06.10,Lowly Toxic,,,2026-05-03T19:11:18.339953
WP20210124,暂无、permethrin,0.21%,2021.06.11,2031.06.10,Slightly Toxic,Zhejiang Lamking Bio-Technology Co.，Ltd,,2026-05-03T19:11:18.339953
WP20210123,ethyl butylacetylaminopropionate,5%,2021.06.11,2031.06.10,Slightly Toxic,,,2026-05-03T19:11:18.339953
WP20210122,meperfluthrin,0.04%,2021.06.11,2031.06.10,Slightly Toxic,Longsheng various nationalities autonomous county mosquito plant,,2026-05-03T19:11:18.339953
WP20210121,meperfluthrin,0.8%,2021.06.11,2031.06.10,Lowly Toxic,,2023年1月17日，变更原毒性低毒。,2026-05-03T19:11:18.339953
WP20210120,dinotefuran,20%,2021.06.11,2031.06.10,Slightly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",,2026-05-03T19:11:18.339953
WP20210119,bifenthrin,10%,2021.06.11,2031.06.10,Lowly Toxic,"Jiangsu Aijin Agrochemical Co., Ltd.",,2026-05-03T19:11:18.339953
WP20210118,meperfluthrin,0.08%,2021.06.11,2031.06.10,Slightly Toxic,"Fujian Jinjiang Daily Chemical Co., Ltd",,2026-05-03T19:11:18.339953
WP20210117,fipronil,0.3%,2021.06.11,2031.06.10,Slightly Toxic,"SUZHOU GREEN HERCULES BIOTECHNOLOGY CO., LTD",2022年08月08日，变更原持有人苏州绿叶日用品有限公司。,2026-05-03T19:11:18.339953
WP20210116,propoxur、d-allethrin,10%,2021.06.11,2031.06.10,Lowly Toxic,"Jiangsu Gongcheng Bio-tech Co.,Ltd",,2026-05-03T19:11:18.339953
WP20210115,imidacloprid、meperfluthrin,21%,2021.06.11,2031.06.10,Lowly Toxic,"Youjia Crop Protection Co., Ltd.",2022年01月18日，增加室内蝇、室内跳蚤、室内蚊。,2026-05-03T19:11:18.339953
PD20210995,etoxazole、diafenthiuron,45%,2021.06.11,2031.06.10,Lowly Toxic,"Hebei Lishijie Biotechnology Co.,Ltd.",,2026-05-03T19:11:18.339953
PD20210994,etoxazole、abamectin,12%,2021.06.11,2031.06.10,Lowly Toxic (technical material is highly toxic),"JINAN TIANYUBAIHE PLANT NUTRITION TECHNOLOGY CO., LTD",2023年11月6日，变更原持有人山东汤普乐作物科学有限公司。,2026-05-03T19:11:18.339953
PD20210993,etoxazole、bifenazate,45%,2021.06.11,2031.06.10,Lowly Toxic,"Shandong Dehao Chemical Co., Ltd.",2025年5月30日，标注质量浓度。质量浓度505克/升（联苯肼酯335克/升，乙螨唑170克/升）。,2026-05-03T19:11:18.339953
PD20210992,difenoconazole、thiamethoxam、fludioxonil,9%,2021.06.11,2031.06.10,Lowly Toxic,"Henan Yongguan Qiaodi Agricultural Technology Co.,Ltd",2025年10月30日，增加大豆根腐病、大豆蚜虫。,2026-05-03T19:11:18.339953
